地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年
北京市,3.4,3.32,3.55,3.58,3.65,3.88,4.34,4.47,4.22,3.43,3.36,3.83,3.38,3.12,2.68,1.53,2.66,2.4,2.38,2.05
天津市,0.56,0.69,0.72,0.69,0.67,0.66,0.64,0.64,1.53,1.31,1.13,0.95,0.81,0.67,0.56,0.46,0.45,0.38,0.32,0.28
河北省,0.75,0.7,0.66,0.6,0.6,0.7,1.07,0.98,0.85,0.75,0.67,0.74,0.65,0.57,0.54,0.26,0.43,0.39,0.36,0.32
山西省,0.47,0.43,0.4,0.38,0.36,0.39,1.2,0.98,0.82,0.67,0.58,0.45,0.33,0.25,0.18,0.08,0.16,0.13,0.12,0.1
内蒙古自治区,1.79,1.76,1.68,1.53,1.6,1.55,1.51,1.48,1.4,1.27,1.53,1.47,1.22,1,0.79,0.41,0.43,0.4,0.39,0.36
辽宁省,2.3,2.17,2.12,2.05,2.01,1.74,3.89,3.39,3.07,2.51,2.07,1.71,1.37,1.11,0.94,0.67,0.79,0.61,0.5,0.39
吉林省,1.24,1.28,1.42,1.29,1.13,1.08,1.01,0.85,0.72,0.58,0.52,0.44,0.35,0.31,0.28,0.19,0.26,0.24,0.19,0.14
黑龙江省,1.04,0.98,0.91,0.79,1.32,1.45,1.95,1.98,1.65,1.35,1.93,1.34,0.99,0.76,0.69,0.55,0.67,0.57,0.5,0.36
上海市,6.02,5.89,5.73,5.41,5.23,5.11,5.4,5.55,5.93,4.39,4.42,4.43,4,3.8,3.2,1.99,2.16,1.52,1.44,1.29
江苏省,2.65,2.42,2.18,2.01,1.97,1.93,5.75,5.38,4.73,3.96,3.96,3.69,3.15,2.62,2.14,1.43,1.39,1.09,0.98,0.8
浙江省,3.23,4.3,3.87,3.34,2.7,2.52,5.71,5.15,4.47,3.78,3.66,3.44,2.81,2.33,1.78,1.07,1.21,0.82,0.65,0.51
安徽省,2.19,2.05,1.84,1.71,1.61,1.67,1.9,1.52,1.17,0.98,0.91,0.74,0.53,0.41,0.32,0.16,0.24,0.19,0.17,0.14
福建省,2.18,2.93,2.54,1.34,1.27,1.15,1.67,1.4,1.15,0.98,0.99,1.01,0.79,0.72,0.63,0.46,0.53,0.47,0.5,0.35
江西省,0.57,0.57,0.5,0.45,0.45,0.4,0.5,0.44,0.4,0.39,0.31,0.24,0.18,0.14,0.09,0.04,0.07,0.06,0.06,0.04
山东省,3.06,3.16,2.38,2.26,2.18,2.06,3.42,3.12,2.78,2.41,2.06,2.02,1.56,1.25,0.96,0.62,0.74,0.59,0.48,0.42
河南省,1.05,1,0.96,0.84,0.72,0.73,1.19,1.04,0.96,0.83,0.68,0.56,0.45,0.35,0.24,0.11,0.25,0.25,0.18,0.16
湖北省,3.07,2.78,2.55,2.4,2.13,2.05,1.93,1.6,1.39,1.02,0.93,1.08,0.86,0.63,0.5,0.32,0.76,0.54,0.36,0.22
湖南省,1.79,1.55,1.27,1.18,1,0.88,0.91,1.2,1.03,0.64,0.71,0.88,0.73,0.61,0.41,0.11,0.22,0.19,0.16,0.13
广东省,8.62,8.65,9.09,7.84,7.75,7.61,7.73,7.49,7.33,6.18,6.09,6.29,5.35,4.77,3.78,2.46,2.98,2.4,2.13,1.49
广西壮族自治区,2.7,2.55,2.52,2.39,1.47,1.51,1.93,1.71,1.41,1.17,1.2,1.25,1.05,0.89,0.69,0.33,0.66,0.55,0.51,0.37
海南省,0.9,0.79,0.47,0.36,0.42,0.5,0.52,0.56,0.47,0.37,0.53,0.59,0.47,0.27,0.18,0.14,0.17,0.13,0.09,0.07
重庆市,1.59,1.36,1.19,0.99,0.81,0.77,1.53,1.33,1.04,0.85,0.74,0.62,0.49,0.42,0.34,0.18,0.31,0.22,0.19,0.13
四川省,2.76,2.41,2.19,1.93,1.7,1.47,1.51,1.14,0.75,0.61,0.48,1.07,0.86,0.68,0.55,0.24,0.41,0.28,0.2,0.18
贵州省,0.18,0.13,0.32,0.3,0.28,0.27,0.3,0.24,0.19,0.16,0.18,0.15,0.11,0.09,0.08,0.02,0.08,0.08,0.07,0.07
云南省,5.5,5.08,4.51,4.2,2.06,2.13,3.3,2.81,2.31,1.92,1.69,1.45,1.11,1,0.73,0.66,0.78,0.7,0.67,0.73
西藏自治区,0.24,0.27,0.21,0.14,0.2,0.19,0.17,0.25,0.21,0.16,0.06,0.34,0.14,0.11,0.09,0.05,0.13,0.12,0.14,0.09
陕西省,3.07,2.62,2.29,1.94,1.86,1.79,2.34,1.9,1.55,1.14,0.94,0.98,0.83,0.75,0.61,0.31,0.72,0.64,0.58,0.5
甘肃省,0.06,0.04,0.04,0.03,0.03,0.06,0.07,0.05,0.05,0.05,0.06,0.23,0.18,0.17,0.15,0.07,0.16,0.15,0.14,0.09
青海省,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.02,0.02,0.04,0.03,0.01,0.01,0.01,0.02,0.02,0.01,0.01
宁夏回族自治区,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0
新疆维吾尔自治区,0.86,0.67,0.52,0.46,0.48,0.6,0.49,0.49,0.45,0.32,0.33,0.4,0.31,0.29,0.27,0.15,0.23,0.22,0.21,0.19
